"","closeness_centrality"
"1852996734",752259.351490711
"25505653",801021.45119509
"1852997088",626576.321665393
"25066694",620981.074195523
"1852996875",848519.30185126
"107637",489768.447509136
"1678155318",524972.281259556
"4690127263",512125.074080502
"1938819328",529063.304242824
"1938819330",564539.298445244
"1938819331",570285.482745651
"2387212189",576807.305465145
"1938819326",535687.314941299
"1938819319",537264.433920648
"2387212190",534391.388074835
"2218344503",504824.083592959
"2218344498",503966.218181468
"1939558664",505699.989189982
"2218344505",508057.972692084
"1939558687",522332.42922353
"1939558681",525703.480550968
"3139705121",526157.135863764
"2218344522",527213.400250533
"1939558677",528422.357698773
"2218344516",529541.381299464
"2218344518",521357.628316015
"1939558673",516781.241978994
"2218344509",513278.433809035
"1939558649",458930.396218174
"2218362314",457940.495620702
"1939558650",456955.512979461
"2218362310",456328.801660639
"1939558648",460331.242391271
"1939558647",460292.235720927
"1939558675",447223.843139447
"1939558678",454950.857610847
"1939558679",460990.744001825
"4866784252",464377.1867698
"107652",468245.906804682
"1939558667",485297.674614618
"1939558658",480339.555380307
"2218362312",490104.627042637
"1312264600",460945.728944717
"1939558684",502584.69379492
"1939558689",505843.057861857
"2218362308",507061.999138396
"1939558692",507842.187841495
"1939558700",508370.838540101
"2218362332",509048.941803714
"2218362316",509765.797738596
"212916714",510832.001964944
"4866784251",448791.725527981
"1939558660",445757.628760276
"107651",444386.484191686
"2218348157",513349.984029862
"1939558695",515167.112813659
"2218346838",517130.454294147
"1939558659",459559.71469328
"2218362336",455367.972058612
"1951616231",649648.107746197
"5238587994",633620.289372708
"4077599543",632734.830608185
"4077599545",632084.495870952
"5238587992",630614.403638993
"5227220846",630075.321132933
"2793874522",621694.23070294
"1951616266",598375.898697177
"2378843909",593789.667867312
"1951616236",588855.616335695
"1951616234",586473.024927058
"1782714747",596510.711933153
"1951616278",603704.74605771
"1951616291",602216.958310042
"5141625621",535998.581386115
"5141625625",531021.456357329
"5141625630",523810.213541774
"5141625623",519004.831191626
"5141625703",501602.185053525
"3130435826",645716.984690745
"25161380",639730.497067911
"4529258383",638465.768171952
"25161377",607641.216508089
"1782727992",657767.286450296
"5201625565",639482.998382161
"1939558666",442127.862976758
"4866976610",443841.653657556
"2218364541",446549.717533158
"1939558655",457396.229544735
"2218364543",443647.925647916
"4866976618",472122.534470617
"2387224475",462759.038102648
"2387224474",459891.6575406
"1939558671",502640.779767616
"2218344501",500637.148263116
"1939558672",498519.660260314
"4866807989",494024.594708151
"1939558652",476806.674116072
"1939558693",518838.765516957
"2218348156",526908.154346185
"1312188821",543536.171237955
"3499500263",544778.386820008
"1939558697",497356.584905165
"4866976611",452691.752777678
"2218362849",457338.76769112
"4866976614",472204.360000307
"2218362321",492814.850290103
"1939558701",495127.010481601
"1951616295",622154.452920678
"1951616292",619986.791787612
"1951616287",616106.56154038
"3153656025",1476234.804144
"2378843913",1476234.804144
"2378843911",1476227.2895164
"2378843910",1476227.2895164
"1311962122",535655.93128711
"2387194156",523359.010886429
"2387194157",504975.279474012
"2387194133",500189.45501825
"1782725824",496708.791200824
"2387194148",498735.449956708
"1771426166",508471.273361475
"2140227862",506924.565527829
"2387194131",486572.291414796
"2387194142",487830.143937133
"2387194124",486088.902654685
"2387194126",488695.006549429
"2387194127",494712.87679855
"2387200056",501635.810349379
"2387194129",508685.440437861
"24658060",518850.009782253
"2387200059",534099.216978194
"1311962016",529583.604729775
"5198585557",513239.413431808
"5198585559",511035.834663008
"1678155299",507221.207512747
"3644785104",503887.736443849
"4729628192",502642.120783051
"1938819317",546872.191709987
"2297373047",554417.868753098
"1365887500",456969.042777659
"24950097",467440.515527131
"3517985666",477231.485413733
"3499500226",483765.162161054
"1939558663",455302.433784882
"2218362306",460860.431206809
"1569238052",533525.709558474
"5141625743",538607.374523295
"5095547151",544511.183665976
"5141625747",546736.693145728
"5095547146",546911.840384515
"1569238111",546973.164767578
"5095547147",547043.754621959
"5095547148",547238.666751114
"1569238026",547251.395107934
"5095547153",547243.158801209
"5095547149",547234.120077772
"5095547144",547204.670944166
"1569238068",546497.772747653
"1312189096",546158.731881657
"1312188740",530741.026568249
"1312264618",599127.699208132
"2642878569",608585.377685986
"2406484453",582162.861420844
"2406484452",578085.942559269
"2406484454",572399.435584909
"2406484455",569492.727331284
"2406484460",564951.18215343
"250549587",678182.237636198
"1312188647",683499.702547341
"1312188731",693619.896235272
"1312188845",700651.685807372
"1312188988",707385.154422305
"1312188883",730831.920458318
"1312188704",735373.650971443
"1312188797",739555.575636066
"1312188722",763863.641960927
"1312189057",767270.102336108
"1312188824",773550.639870417
"1312188660",788038.928424228
"1312188955",796711.683449593
"1312188741",801825.077256012
"1312189098",804684.534275874
"354886082",808657.858935132
"1312188694",816398.044004274
"250549670",829319.929741259
"2642857114",520130.965355153
"25069911",512694.548150878
"2642857185",536889.946319279
"107588",530849.592114595
"2642857148",519487.353560116
"2538458899",494633.309757195
"25161384",706365.386306808
"25161383",672110.039948152
"25161381",638294.602578842
"2793874549",672516.510006303
"2793874542",675477.078080185
"2793874531",737640.593089941
"2929116725",758188.869979194
"2934268028",755221.974613207
"1787108619",742716.077466942
"2929116726",751280.51963884
"2929116727",787865.948396288
"2929116728",798157.263963806
"2929116729",799190.564789174
"2929116724",786851.148646018
"2929116730",775693.269598627
"2934268030",737954.212583734
"2934268031",709752.614134822
"2934268033",714344.637949578
"2934268034",730236.864870838
"2934268035",735144.438767782
"2934268036",736077.875922307
"2934268037",738327.531249906
"2934268038",737871.785882425
"2934268040",745497.918129383
"2934268041",744649.602113887
"2934268042",742504.733182939
"2934268043",730069.949875746
"2935536501",646300.917636157
"5227220848",607130.31545635
"1569216406",609434.982006963
"1569215914",613127.417557018
"5227220847",637689.285194726
"5223919935",644460.960601445
"1990694641",678181.397475952
"1990694647",706417.615567794
"1990694635",721371.314823082
"5141625702",493733.706515717
"5141625696",498817.117925465
"5141625698",502134.989892622
"3644748767",517202.003433787
"3392197130",541252.94653608
"20458273",695463.859225936
"20458275",715967.516794527
"1571298192",734630.294837239
"21990624",768376.904710189
"4835108999",787840.882621218
"21990625",800153.626319637
"2003007012",810593.160659883
"2003007023",814462.004399089
"4835108998",823187.051773472
"3334162601",840818.587667743
"991123186",845327.293901076
"250325411",857638.484977096
"21990626",891199.518750146
"1233327202",907216.27512975
"1782716888",913407.658040509
"1787108646",918306.596615428
"110238",940113.255767799
"4085778935",741357.90088393
"4085778922",728320.437896777
"4085778926",698857.005219434
"4229210047",640127.254862106
"4085778928",738800.239985258
"4143767989",742914.634383285
"4229210046",628311.904236651
"5146186507",630820.836861288
"5201625541",629813.499035519
"5201625537",626753.629266883
"4085778930",692474.46690475
"4085778932",699374.907283129
"2941549918",754502.414070284
"2941549933",749729.904597981
"1722621630",738723.094349675
"5201625566",713395.053604141
"1827389620",688220.828165746
"700774224",671653.120062556
"4688513218",631764.147296177
"2218344508",553324.748306351
"2218344511",540961.249394803
"3715515059",526473.055024728
"3816097106",516750.159238003
"3816097107",511618.842876413
"3381130091",678197.176256367
"3816097108",635511.798550372
"385311796",532580.416746649
"4748394420",528648.967866697
"4866475729",886588.225973526
"4866591374",604798.78550434
"4866591376",608352.48895035
"3233714196",611837.327467047
