"","closeness_centrality"
"775933087",731092.386548487
"774546433",851332.597655268
"4876123727",862950.783163763
"3933094360",887499.035063584
"774546374",897960.637422454
"1492416099",671373.914632041
"777840204",671951.458922315
"777830308",677873.155715712
"3208518279",1075388.16947866
"3208518280",1075388.16947866
"3208518281",1011548.69491751
"3208518288",808869.936518714
"3208518298",900109.721484386
"3213448182",753832.502325582
"3213448183",777061.967346876
"3213448185",796386.992249201
"2975215705",1046085.50985894
"5021236291",1045981.23504149
"1492169322",943258.644959735
"1492169365",950054.768443714
"1492169323",960668.550413263
"4419701257",799767.595823101
"367849053",840655.659826989
"1283634763",671894.26963159
"4326586177",672120.420418371
"4326586176",672347.721251048
"4326586175",672364.136928743
"4326586174",672465.824403649
"1283634743",672612.340542244
"1283634756",672709.019136444
"1283634780",672709.726833455
"1725216474",751828.624986999
"4531065292",785130.406720756
"955611519",719084.751384423
"446051197",758157.600158658
